timestamp,service,endpoint,region,latency_ms,cpu_usage,memory_usage,queue_lag,status,error_code,severity,error_count,is_anomaly
2026-01-01T00:00:00,payment-api,/transfer,Germany,188,36.7,50.44,6,success,,low,0,0
2026-01-01T00:00:30,trading-engine,/trade,Germany,36,54.04,58.01,9,success,,low,0,0
2026-01-01T00:01:00,trading-engine,/trade,Singapore,141,57.5,64.92,3,success,,low,0,0
2026-01-01T00:01:30,notification-service,/transfer,USA,57,54.69,41.29,3,success,,low,0,0
2026-01-01T00:02:00,notification-service,/login,USA,97,59.28,56.71,3,success,,low,0,0
2026-01-01T00:02:30,trading-engine,/payment,India,100,50.51,59.23,8,success,,low,0,0
2026-01-01T00:03:00,auth-service,/kyc,India,97,70.3,58.34,3,success,,low,0,0
2026-01-01T00:03:30,notification-service,/payment,India,85,43.77,47.12,1,success,,low,0,0
2026-01-01T00:04:00,notification-service,/transfer,India,60,50.94,75.45,3,success,,low,0,0
2026-01-01T00:04:30,investment-engine,/trade,UAE,101,61.33,52.45,4,success,,low,0,0
2026-01-01T00:05:00,payment-api,/transfer,Singapore,126,57.97,55.35,3,success,,low,0,0
2026-01-01T00:05:30,investment-engine,/trade,USA,133,56.34,60.16,3,success,,low,0,0
2026-01-01T00:06:00,trading-engine,/trade,Singapore,93,47.52,39.53,3,success,,low,0,0
2026-01-01T00:06:30,portfolio-service,/trade,India,138,46.47,60.13,0,success,,low,0,0
2026-01-01T00:07:00,investment-engine,/withdrawal,Singapore,152,54.19,64.94,5,success,,low,0,0
2026-01-01T00:07:30,portfolio-service,/trade,Germany,140,58.7,62.11,7,success,,low,0,0
2026-01-01T00:08:00,portfolio-service,/portfolio,USA,143,53.87,67.28,4,success,,low,0,0
2026-01-01T00:08:30,investment-engine,/trade,India,111,62.34,65.57,4,success,,low,0,0
2026-01-01T00:09:00,fraud-detection,/payment,Singapore,175,53.6,61.41,3,success,,low,0,0
2026-01-01T00:09:30,notification-service,/payment,India,66,48.76,50.43,2,success,,low,0,0
2026-01-01T00:10:00,portfolio-service,/portfolio,UAE,124,50.93,56.66,11,success,,low,0,0
2026-01-01T00:10:30,fraud-detection,/payment,Singapore,187,52.63,59.19,1,success,,low,0,0
2026-01-01T00:11:00,notification-service,/payment,USA,85,71.02,54.7,4,success,,low,0,0
2026-01-01T00:11:30,portfolio-service,/trade,USA,167,55.06,55.64,3,success,,low,0,0
2026-01-01T00:12:00,auth-service,/login,Germany,102,46.54,57.95,5,success,,low,0,0
2026-01-01T00:12:30,investment-engine,/trade,Germany,136,52.96,46.52,7,success,,low,0,0
2026-01-01T00:13:00,portfolio-service,/trade,Germany,153,58.12,54.63,5,success,,low,0,0
2026-01-01T00:13:30,portfolio-service,/portfolio,India,117,67.63,53.78,2,success,,low,0,0
2026-01-01T00:14:00,portfolio-service,/portfolio,USA,158,60.01,45.57,2,success,,low,0,0
2026-01-01T00:14:30,payment-api,/withdrawal,Singapore,155,51.28,47.4,7,success,,low,0,0
2026-01-01T00:15:00,notification-service,/payment,Germany,40,39.09,70.2,4,success,,low,0,0
2026-01-01T00:15:30,portfolio-service,/trade,USA,146,56.8,58.64,5,success,,low,0,0
2026-01-01T00:16:00,investment-engine,/portfolio,UAE,130,67.16,62.76,6,success,,low,0,0
2026-01-01T00:16:30,payment-api,/transfer,Germany,167,50.37,63.75,4,success,,low,0,0
2026-01-01T00:17:00,portfolio-service,/trade,India,91,37.83,62.35,3,success,,low,0,0
2026-01-01T00:17:30,fraud-detection,/transfer,USA,193,52.5,49.0,1,success,,low,0,0
2026-01-01T00:18:00,investment-engine,/portfolio,Germany,125,65.74,76.12,5,success,,low,0,0
2026-01-01T00:18:30,trading-engine,/payment,UAE,76,53.25,54.14,4,success,,low,0,0
2026-01-01T00:19:00,auth-service,/login,India,69,44.55,59.29,8,success,,low,0,0
2026-01-01T00:19:30,trading-engine,/trade,UAE,134,69.21,67.33,3,success,,low,0,0
2026-01-01T00:20:00,auth-service,/login,India,124,48.24,61.36,3,success,,low,0,0
2026-01-01T00:20:30,notification-service,/transfer,UAE,76,58.73,66.84,6,success,,low,0,0
2026-01-01T00:21:00,fraud-detection,/transfer,Germany,179,56.46,44.68,4,success,,low,0,0
2026-01-01T00:21:30,trading-engine,/payment,India,77,44.34,63.6,7,success,,low,0,0
2026-01-01T00:22:00,portfolio-service,/portfolio,Singapore,135,53.65,62.18,5,success,,low,0,0
2026-01-01T00:22:30,auth-service,/login,Singapore,76,75.53,58.63,2,success,,low,0,0
2026-01-01T00:23:00,payment-api,/withdrawal,UAE,147,57.78,73.35,4,success,,low,0,0
2026-01-01T00:23:30,investment-engine,/withdrawal,Singapore,192,68.3,71.53,6,success,,low,0,0
2026-01-01T00:24:00,investment-engine,/portfolio,UAE,146,43.9,73.67,8,success,,low,0,0
